name,xmin,ymin,xmax,ymax
Nun-medial,922,40,972,90
Kaf,888,40,938,90
Zayin,865,40,915,90
Qof,815,40,865,90
Pe-final,783,40,833,90
Tet,756,40,806,90
Tet,734,40,784,90
Mem,715,40,765,90
Het,644,40,694,90
Tsadi-medial,621,40,671,90
Shin,600,40,650,90
Mem,572,40,622,90
Bet,548,40,598,90
Zayin,522,40,572,90
Tet,495,40,545,90
Tsadi-final,473,40,523,90
Qof,433,40,483,90
Tsadi-medial,409,40,459,90
Dalet,383,40,433,90
Mem-medial,358,40,408,90
Shin,336,40,386,90
Dalet,303,40,353,90
He,277,40,327,90
Het,221,40,271,90
Gimel,202,40,252,90
Gimel,165,40,215,90
Mem,138,40,188,90
Pe,120,40,170,90
Taw,91,40,141,90
Kaf-final,924,90,974,140
Zayin,904,90,954,140
Taw,875,90,925,140
Nun-final,748,90,798,140
Alef,717,90,767,140
Qof,688,90,738,140
Nun-medial,662,90,712,140
Samekh,552,90,602,140
Taw,475,90,525,140
Het,449,90,499,140
Nun-final,419,90,469,140
Zayin,387,90,437,140
Yod,358,90,408,140
Zayin,332,90,382,140
Dalet,299,90,349,140
Tsadi-final,271,90,321,140
Het,244,90,294,140
Tsadi-final,163,90,213,140
Yod,142,90,192,140
Zayin,884,140,934,190
Taw,800,140,850,190
Lamed,784,140,834,190
Het,751,140,801,190
Pe-final,722,140,772,190
Kaf-final,697,140,747,190
Gimel,670,140,720,190
Nun-final,648,140,698,190
Nun-medial,616,140,666,190
Lamed,592,140,642,190
He,564,140,614,190
Tet,531,140,581,190
Ayin,501,140,551,190
Gimel,479,140,529,190
Het,449,140,499,190
Yod,420,140,470,190
Ayin,395,140,445,190
Mem,344,140,394,190
Ayin,316,140,366,190
Yod,256,140,306,190
Gimel,229,140,279,190
Shin,199,140,249,190
Shin,123,140,173,190
Kaf,106,140,156,190
Taw,75,140,125,190
Mem-medial,928,190,978,240
Yod,904,190,954,240
Yod,879,190,929,240
Nun-medial,857,190,907,240
Zayin,835,190,885,240
Nun-final,809,190,859,240
Waw,773,190,823,240
Lamed,747,190,797,240
Shin,726,190,776,240
Tsadi-medial,705,190,755,240
He,679,190,729,240
Lamed,589,190,639,240
Pe,571,190,621,240
Samekh,542,190,592,240
Resh,509,190,559,240
Taw,483,190,533,240
Tsadi-final,453,190,503,240
Ayin,423,190,473,240
Het,391,190,441,240
Waw,367,190,417,240
Lamed,347,190,397,240
Pe-final,319,190,369,240
Yod,294,190,344,240
Zayin,274,190,324,240
Pe,255,190,305,240
Tsadi-final,120,190,170,240
Samekh,91,190,141,240
Nun-medial,924,240,974,290
Kaf,900,240,950,290
Waw,875,240,925,290
Tsadi-final,855,240,905,290
Yod,763,240,813,290
Mem,737,240,787,290
Taw,711,240,761,290
He,687,240,737,290
He,664,240,714,290
Resh,594,240,644,290
Het,569,240,619,290
Het,538,240,588,290
Gimel,515,240,565,290
Tet,482,240,532,290
Kaf-final,461,240,511,290
Waw,427,240,477,290
Waw,415,240,465,290
Tet,304,240,354,290
He,274,240,324,290
Ayin,247,240,297,290
Nun-final,217,240,267,290
Pe-final,184,240,234,290
Mem-medial,161,240,211,290
He,129,240,179,290
Waw,105,240,155,290
Taw,74,240,124,290
Het,923,290,973,340
Lamed,895,290,945,340
Het,869,290,919,340
Resh,845,290,895,340
Nun-medial,818,290,868,340
Dalet,798,290,848,340
Ayin,694,290,744,340
Zayin,651,290,701,340
He,623,290,673,340
Tsadi-medial,587,290,637,340
Samekh,570,290,620,340
Tet,542,290,592,340
Resh,520,290,570,340
Waw,495,290,545,340
Samekh,463,290,513,340
Dalet,433,290,483,340
Ayin,412,290,462,340
Pe-final,396,290,446,340
Kaf-final,343,290,393,340
He,314,290,364,340
Nun-medial,280,290,330,340
Tsadi-medial,251,290,301,340
Shin,225,290,275,340
Gimel,208,290,258,340
Nun-final,184,290,234,340
Pe-final,147,290,197,340
Mem-medial,921,340,971,390
Mem-medial,851,340,901,390
Samekh,824,340,874,390
Mem-medial,795,340,845,390
Gimel,767,340,817,390
Nun-final,688,340,738,390
Tet,666,340,716,390
Mem-medial,645,340,695,390
Taw,617,340,667,390
Bet,593,340,643,390
Tsadi-medial,556,340,606,390
Kaf-final,533,340,583,390
Tet,513,340,563,390
Gimel,493,340,543,390
Lamed,467,340,517,390
Samekh,439,340,489,390
Taw,411,340,461,390
Dalet,383,340,433,390
Mem-medial,357,340,407,390
Gimel,339,340,389,390
Taw,266,340,316,390
Tet,243,340,293,390
Taw,218,340,268,390
Mem-medial,155,340,205,390
Bet,132,340,182,390
Mem-medial,114,340,164,390
Alef,96,340,146,390
Alef,854,390,904,440
Samekh,828,390,878,440
Bet,798,390,848,440
Qof,768,390,818,440
Tsadi-final,740,390,790,440
Ayin,716,390,766,440
Resh,689,390,739,440
Qof,663,390,713,440
Bet,646,390,696,440
Dalet,628,390,678,440
Dalet,614,390,664,440
Samekh,540,390,590,440
Het,510,390,560,440
Bet,490,390,540,440
Kaf-final,468,390,518,440
Nun-medial,444,390,494,440
Pe,422,390,472,440
Tet,401,390,451,440
Kaf,377,390,427,440
Kaf,352,390,402,440
Mem,337,390,387,440
Nun-medial,311,390,361,440
Zayin,281,390,331,440
Bet,259,390,309,440
Qof,234,390,284,440
Mem-medial,209,390,259,440
Shin,141,390,191,440
Tsadi-medial,928,440,978,490
Nun-final,900,440,950,490
Resh,874,440,924,490
Pe,852,440,902,490
Ayin,830,440,880,490
He,804,440,854,490
Pe,778,440,828,490
Nun-medial,748,440,798,490
Ayin,725,440,775,490
Kaf-final,707,440,757,490
Nun-final,684,440,734,490
Waw,654,440,704,490
Pe-final,629,440,679,490
Nun-final,606,440,656,490
Waw,578,440,628,490
Yod,559,440,609,490
Het,539,440,589,490
Bet,519,440,569,490
Yod,494,440,544,490
Waw,465,440,515,490
Zayin,434,440,484,490
Gimel,405,440,455,490
Zayin,374,440,424,490
Kaf-final,317,440,367,490
He,296,440,346,490
Gimel,273,440,323,490
Alef,238,440,288,490
Mem,212,440,262,490
Lamed,190,440,240,490
Kaf-final,172,440,222,490
Qof,146,440,196,490
Tsadi-medial,116,440,166,490
Taw,90,440,140,490
Resh,927,490,977,540
Qof,902,490,952,540
Bet,882,490,932,540
Het,845,490,895,540
Lamed,830,490,880,540
Shin,801,490,851,540
Kaf,783,490,833,540
Het,762,490,812,540
Mem,730,490,780,540
Tet,634,490,684,540
Mem-medial,614,490,664,540
Lamed,584,490,634,540
Samekh,499,490,549,540
Zayin,470,490,520,540
Shin,444,490,494,540
Mem,355,490,405,540
Gimel,330,490,380,540
Nun-medial,308,490,358,540
Dalet,289,490,339,540
Het,263,490,313,540
Nun-final,236,490,286,540
Dalet,203,490,253,540
Bet,181,490,231,540
Mem-medial,156,490,206,540
Lamed,134,490,184,540
Yod,102,490,152,540
Resh,79,490,129,540
