name,xmin,ymin,xmax,ymax
Samekh,930,40,980,90
Alef,898,40,948,90
Mem-medial,823,40,873,90
Ayin,800,40,850,90
Nun-final,664,40,714,90
Tsadi-final,636,40,686,90
Mem-medial,625,40,675,90
Bet,602,40,652,90
Bet,520,40,570,90
Nun-medial,490,40,540,90
Tsadi-medial,470,40,520,90
Alef,448,40,498,90
Gimel,388,40,438,90
Taw,357,40,407,90
Yod,334,40,384,90
Taw,310,40,360,90
Mem,245,40,295,90
Nun-medial,143,40,193,90
Kaf,89,40,139,90
Lamed,930,90,980,140
Qof,904,90,954,140
Pe-final,882,90,932,140
Tet,826,90,876,140
Resh,807,90,857,140
Zayin,779,90,829,140
Lamed,714,90,764,140
Samekh,688,90,738,140
Mem-medial,654,90,704,140
Gimel,590,90,640,140
He,560,90,610,140
Alef,539,90,589,140
Lamed,512,90,562,140
Ayin,464,90,514,140
Alef,440,90,490,140
Nun-final,407,90,457,140
Zayin,386,90,436,140
Tsadi-medial,354,90,404,140
Nun-final,324,90,374,140
Bet,301,90,351,140
Qof,280,90,330,140
Taw,258,90,308,140
Kaf-final,237,90,287,140
Gimel,209,90,259,140
Qof,186,90,236,140
He,159,90,209,140
Qof,129,90,179,140
Zayin,107,90,157,140
Lamed,85,90,135,140
Pe-final,930,140,980,190
Mem-medial,911,140,961,190
Zayin,876,140,926,190
Tsadi-medial,846,140,896,190
Bet,824,140,874,190
Bet,749,140,799,190
Ayin,726,140,776,190
Taw,692,140,742,190
Resh,665,140,715,190
He,634,140,684,190
Alef,610,140,660,190
Gimel,583,140,633,190
Nun-medial,567,140,617,190
Samekh,545,140,595,190
Resh,526,140,576,190
Het,491,140,541,190
Yod,426,140,476,190
Waw,397,140,447,190
Mem,317,140,367,190
Taw,293,140,343,190
Gimel,200,140,250,190
Mem,160,140,210,190
Lamed,132,140,182,190
Waw,105,140,155,190
He,75,140,125,190
Tsadi-medial,918,190,968,240
Ayin,893,190,943,240
Pe-final,866,190,916,240
Mem,839,190,889,240
Yod,819,190,869,240
Gimel,790,190,840,240
Resh,765,190,815,240
Tsadi-medial,741,190,791,240
Mem-medial,724,190,774,240
Het,705,190,755,240
Resh,643,190,693,240
Dalet,612,190,662,240
Tet,589,190,639,240
Nun-medial,562,190,612,240
Qof,536,190,586,240
Kaf-final,436,190,486,240
Gimel,404,190,454,240
Kaf,304,190,354,240
Tsadi-medial,280,190,330,240
Nun-final,194,190,244,240
Kaf,137,190,187,240
Tsadi-final,111,190,161,240
He,82,190,132,240
Yod,917,240,967,290
Kaf,885,240,935,290
Tet,826,240,876,290
Qof,803,240,853,290
Nun-final,774,240,824,290
Resh,752,240,802,290
Zayin,725,240,775,290
Tet,695,240,745,290
Samekh,668,240,718,290
Tet,635,240,685,290
Tet,511,240,561,290
Resh,478,240,528,290
Kaf-final,458,240,508,290
Alef,401,240,451,290
Lamed,332,240,382,290
Kaf,316,240,366,290
Kaf-final,289,240,339,290
Tsadi-medial,265,240,315,290
Gimel,239,240,289,290
Gimel,215,240,265,290
Kaf-final,185,240,235,290
Mem-medial,162,240,212,290
Taw,927,290,977,340
Gimel,898,290,948,340
Kaf,873,290,923,340
Mem-medial,850,290,900,340
Het,819,290,869,340
Resh,793,290,843,340
Bet,763,290,813,340
Alef,743,290,793,340
Tsadi-final,711,290,761,340
Yod,684,290,734,340
Taw,660,290,710,340
Nun-final,632,290,682,340
Tsadi-final,606,290,656,340
Lamed,574,290,624,340
Resh,551,290,601,340
Kaf,523,290,573,340
Pe,498,290,548,340
Nun-medial,467,290,517,340
He,452,290,502,340
Taw,433,290,483,340
Het,413,290,463,340
Dalet,393,290,443,340
Nun-medial,372,290,422,340
Bet,362,290,412,340
Gimel,339,290,389,340
Zayin,311,290,361,340
Qof,287,290,337,340
Het,265,290,315,340
Pe-final,167,290,217,340
Resh,148,290,198,340
Samekh,122,290,172,340
Nun-medial,83,290,133,340
Shin,924,340,974,390
Pe-final,900,340,950,390
Kaf-final,801,340,851,390
Tsadi-final,776,340,826,390
Tsadi-final,740,340,790,390
Lamed,716,340,766,390
Bet,636,340,686,390
Samekh,609,340,659,390
Nun-final,579,340,629,390
Waw,559,340,609,390
Kaf,532,340,582,390
Gimel,519,340,569,390
Resh,497,340,547,390
Mem,473,340,523,390
Ayin,443,340,493,390
Dalet,360,340,410,390
Pe,329,340,379,390
Kaf-final,305,340,355,390
Mem,272,340,322,390
Mem,242,340,292,390
Resh,222,340,272,390
Samekh,134,340,184,390
Resh,75,340,125,390
Het,921,390,971,440
Qof,893,390,943,440
Yod,868,390,918,440
Bet,838,390,888,440
He,781,390,831,440
Ayin,751,390,801,440
Resh,724,390,774,440
Kaf-final,698,390,748,440
Kaf-final,560,390,610,440
Ayin,534,390,584,440
Taw,501,390,551,440
Gimel,471,390,521,440
Pe-final,413,390,463,440
Pe,392,390,442,440
Tsadi-medial,362,390,412,440
Kaf,337,390,387,440
Nun-final,319,390,369,440
Tet,296,390,346,440
Bet,273,390,323,440
Lamed,251,390,301,440
Tet,231,390,281,440
Gimel,206,390,256,440
Yod,110,390,160,440
Taw,79,390,129,440
Dalet,924,440,974,490
He,894,440,944,490
Tet,870,440,920,490
He,855,440,905,490
Mem,821,440,871,490
Nun-final,795,440,845,490
Kaf,767,440,817,490
Pe,735,440,785,490
Kaf,709,440,759,490
Gimel,626,440,676,490
Qof,599,440,649,490
Resh,574,440,624,490
Samekh,519,440,569,490
Mem-medial,488,440,538,490
Pe,400,440,450,490
Gimel,322,440,372,490
Resh,291,440,341,490
Resh,189,440,239,490
Mem,166,440,216,490
Lamed,143,440,193,490
Dalet,105,440,155,490
Kaf-final,67,440,117,490
Bet,920,490,970,540
Nun-medial,898,490,948,540
Tsadi-medial,876,490,926,540
Tsadi-medial,844,490,894,540
Pe,818,490,868,540
Mem-medial,804,490,854,540
Ayin,652,490,702,540
Zayin,631,490,681,540
Bet,600,490,650,540
Alef,577,490,627,540
Tet,549,490,599,540
Kaf,525,490,575,540
Waw,496,490,546,540
Bet,471,490,521,540
Nun-medial,373,490,423,540
Gimel,316,490,366,540
Mem-medial,289,490,339,540
Kaf-final,268,490,318,540
Tsadi-final,192,490,242,540
Mem-medial,175,490,225,540
Ayin,149,490,199,540
Mem-medial,122,490,172,540
Resh,101,490,151,540
Samekh,66,490,116,540
