name,xmin,ymin,xmax,ymax
Alef,881,40,931,90
Pe,863,40,913,90
Pe,840,40,890,90
Nun-medial,805,40,855,90
Mem,778,40,828,90
Kaf-final,758,40,808,90
Bet,738,40,788,90
Tet,718,40,768,90
Tet,695,40,745,90
Samekh,662,40,712,90
Gimel,642,40,692,90
Gimel,618,40,668,90
Bet,594,40,644,90
Mem-medial,560,40,610,90
Lamed,536,40,586,90
Zayin,508,40,558,90
Qof,487,40,537,90
Nun-final,458,40,508,90
Bet,435,40,485,90
Resh,417,40,467,90
Waw,392,40,442,90
Qof,337,40,387,90
Resh,312,40,362,90
Alef,274,40,324,90
Yod,251,40,301,90
Mem,187,40,237,90
Tsadi-medial,156,40,206,90
Dalet,127,40,177,90
Mem-medial,107,40,157,90
Shin,78,40,128,90
Pe-final,880,90,930,140
Zayin,854,90,904,140
Pe-final,818,90,868,140
Taw,787,90,837,140
Lamed,759,90,809,140
Tsadi-medial,730,90,780,140
Alef,711,90,761,140
Taw,684,90,734,140
Lamed,660,90,710,140
Kaf-final,631,90,681,140
Bet,611,90,661,140
Shin,536,90,586,140
Mem,496,90,546,140
Qof,466,90,516,140
Yod,403,90,453,140
Alef,381,90,431,140
Nun-medial,351,90,401,140
Het,332,90,382,140
Tet,303,90,353,140
Kaf,183,90,233,140
Taw,111,90,161,140
Kaf-final,84,90,134,140
Resh,928,140,978,190
Alef,901,140,951,190
Pe,881,140,931,190
Dalet,851,140,901,190
Pe,828,140,878,190
Mem-medial,799,140,849,190
Ayin,773,140,823,190
Tsadi-medial,742,140,792,190
Dalet,650,140,700,190
Dalet,624,140,674,190
Tet,598,140,648,190
Alef,570,140,620,190
Lamed,471,140,521,190
Tet,440,140,490,190
He,419,140,469,190
Qof,391,140,441,190
Shin,298,140,348,190
Bet,277,140,327,190
Samekh,248,140,298,190
Ayin,222,140,272,190
Kaf,192,140,242,190
Qof,169,140,219,190
Zayin,87,140,137,190
Nun-medial,927,190,977,240
Tsadi-medial,900,190,950,240
Lamed,873,190,923,240
Shin,844,190,894,240
Lamed,822,190,872,240
Taw,791,190,841,240
Shin,768,190,818,240
Waw,738,190,788,240
Nun-medial,710,190,760,240
Nun-final,690,190,740,240
Tsadi-medial,659,190,709,240
Tsadi-medial,538,190,588,240
Nun-final,510,190,560,240
Alef,490,190,540,240
Samekh,466,190,516,240
Taw,448,190,498,240
Zayin,421,190,471,240
Pe-final,389,190,439,240
Yod,361,190,411,240
Kaf-final,263,190,313,240
Alef,231,190,281,240
Pe,204,190,254,240
Resh,176,190,226,240
Yod,156,190,206,240
Yod,139,190,189,240
Shin,109,190,159,240
Mem,79,190,129,240
Kaf-final,919,240,969,290
Samekh,895,240,945,290
Taw,873,240,923,290
Tsadi-final,815,240,865,290
Alef,787,240,837,290
Kaf-final,653,240,703,290
Pe,623,240,673,290
Waw,596,240,646,290
Mem-medial,564,240,614,290
Resh,532,240,582,290
Waw,457,240,507,290
Alef,425,240,475,290
Zayin,401,240,451,290
Resh,378,240,428,290
Resh,356,240,406,290
Pe,329,240,379,290
Qof,302,240,352,290
Waw,278,240,328,290
Mem,260,240,310,290
Zayin,237,240,287,290
He,185,240,235,290
Waw,177,240,227,290
Gimel,150,240,200,290
Bet,123,240,173,290
Tet,99,240,149,290
Ayin,925,290,975,340
Het,895,290,945,340
Mem-medial,876,290,926,340
Samekh,859,290,909,340
He,775,290,825,340
Kaf,755,290,805,340
Nun-medial,735,290,785,340
Resh,710,290,760,340
Pe,693,290,743,340
Kaf,666,290,716,340
Tsadi-medial,646,290,696,340
Yod,592,290,642,340
Zayin,570,290,620,340
Alef,547,290,597,340
Het,525,290,575,340
Nun-medial,500,290,550,340
Lamed,478,290,528,340
Taw,460,290,510,340
Tsadi-final,432,290,482,340
Kaf,406,290,456,340
Shin,382,290,432,340
Dalet,358,290,408,340
Resh,215,290,265,340
Zayin,190,290,240,340
Pe-final,164,290,214,340
He,137,290,187,340
Gimel,103,290,153,340
Ayin,75,290,125,340
Nun-final,921,340,971,390
Yod,893,340,943,390
Waw,866,340,916,390
Tsadi-final,839,340,889,390
Samekh,815,340,865,390
Nun-medial,786,340,836,390
Nun-final,763,340,813,390
Yod,741,340,791,390
Ayin,713,340,763,390
Pe-final,618,340,668,390
Qof,586,340,636,390
Ayin,560,340,610,390
Samekh,530,340,580,390
Mem-medial,504,340,554,390
Resh,481,340,531,390
Pe-final,454,340,504,390
Yod,426,340,476,390
Pe-final,415,340,465,390
Tsadi-medial,391,340,441,390
Lamed,355,340,405,390
Tsadi-final,341,340,391,390
Mem-medial,280,340,330,390
Dalet,253,340,303,390
Tsadi-medial,229,340,279,390
Bet,203,340,253,390
Ayin,182,340,232,390
He,125,340,175,390
Zayin,921,390,971,440
Kaf,891,390,941,440
Yod,866,390,916,440
Tet,770,390,820,440
Mem-medial,750,390,800,440
Ayin,721,390,771,440
Samekh,695,390,745,440
Het,673,390,723,440
Shin,648,390,698,440
Tsadi-medial,626,390,676,440
Tet,597,390,647,440
Yod,570,390,620,440
Nun-medial,546,390,596,440
He,520,390,570,440
Pe,500,390,550,440
Tet,475,390,525,440
Tsadi-medial,449,390,499,440
Kaf-final,348,390,398,440
Bet,327,390,377,440
Mem,296,390,346,440
He,275,390,325,440
Mem,187,390,237,440
Yod,161,390,211,440
Pe,101,390,151,440
Gimel,75,390,125,440
Dalet,920,440,970,490
Mem,891,440,941,490
Nun-final,862,440,912,490
Tsadi-final,828,440,878,490
Qof,799,440,849,490
Dalet,774,440,824,490
Gimel,740,440,790,490
Dalet,650,440,700,490
Nun-medial,466,440,516,490
Tsadi-medial,434,440,484,490
Pe,413,440,463,490
Shin,382,440,432,490
Kaf-final,360,440,410,490
Pe-final,268,440,318,490
Taw,242,440,292,490
Mem,214,440,264,490
Tsadi-medial,190,440,240,490
Shin,167,440,217,490
Bet,145,440,195,490
Bet,117,440,167,490
Ayin,89,440,139,490
Mem-medial,928,490,978,540
Tsadi-medial,893,490,943,540
Pe-final,861,490,911,540
Tsadi-medial,829,490,879,540
Bet,730,490,780,540
Het,702,490,752,540
Samekh,666,490,716,540
Taw,632,490,682,540
Zayin,542,490,592,540
Taw,513,490,563,540
Tet,412,490,462,540
Nun-final,390,490,440,540
Tet,365,490,415,540
Kaf-final,343,490,393,540
Tsadi-medial,316,490,366,540
Yod,289,490,339,540
Alef,263,490,313,540
Nun-final,237,490,287,540
Tet,218,490,268,540
Nun-final,192,490,242,540
Mem-medial,177,490,227,540
Zayin,150,490,200,540
Tsadi-medial,128,490,178,540
Tsadi-final,112,490,162,540
Tsadi-medial,91,490,141,540
