name,xmin,ymin,xmax,ymax
Tsadi-final,923,40,973,90
Mem-medial,898,40,948,90
Pe,806,40,856,90
Samekh,773,40,823,90
Resh,750,40,800,90
Mem-medial,720,40,770,90
Bet,691,40,741,90
Resh,662,40,712,90
Ayin,640,40,690,90
Tsadi-medial,612,40,662,90
Nun-final,596,40,646,90
Kaf,568,40,618,90
Gimel,540,40,590,90
Ayin,440,40,490,90
Kaf,408,40,458,90
Pe,386,40,436,90
Het,367,40,417,90
He,343,40,393,90
Tet,317,40,367,90
Gimel,292,40,342,90
Pe-final,269,40,319,90
Het,249,40,299,90
Zayin,225,40,275,90
Yod,142,40,192,90
Pe-final,76,40,126,90
Kaf-final,922,90,972,140
Alef,894,90,944,140
Tsadi-final,860,90,910,140
Taw,830,90,880,140
He,801,90,851,140
Kaf,745,90,795,140
Pe,710,90,760,140
Pe-final,681,90,731,140
Tsadi-medial,597,90,647,140
Mem-medial,512,90,562,140
Resh,489,90,539,140
Lamed,463,90,513,140
Tsadi-final,431,90,481,140
Taw,408,90,458,140
Mem-medial,376,90,426,140
Shin,352,90,402,140
Tsadi-medial,322,90,372,140
Mem-medial,295,90,345,140
Yod,271,90,321,140
Nun-medial,188,90,238,140
Kaf-final,931,140,981,190
Nun-medial,899,140,949,190
Taw,872,140,922,190
Kaf,841,140,891,190
Pe,821,140,871,190
Nun-final,796,140,846,190
Qof,771,140,821,190
Het,746,140,796,190
Bet,719,140,769,190
Qof,696,140,746,190
Bet,678,140,728,190
Taw,646,140,696,190
He,622,140,672,190
Mem,601,140,651,190
Dalet,582,140,632,190
Samekh,555,140,605,190
Alef,528,140,578,190
Shin,495,140,545,190
Kaf-final,467,140,517,190
Nun-medial,445,140,495,190
Lamed,384,140,434,190
Shin,353,140,403,190
Bet,336,140,386,190
Taw,309,140,359,190
Gimel,280,140,330,190
Kaf,254,140,304,190
Kaf-final,231,140,281,190
Kaf-final,213,140,263,190
Gimel,187,140,237,190
Ayin,168,140,218,190
Lamed,135,140,185,190
Nun-final,114,140,164,190
Nun-medial,102,140,152,190
Dalet,79,140,129,190
Kaf,920,190,970,240
Dalet,890,190,940,240
Tsadi-medial,868,190,918,240
Ayin,845,190,895,240
Waw,809,190,859,240
Nun-medial,616,190,666,240
Tsadi-medial,589,190,639,240
Waw,562,190,612,240
Alef,539,190,589,240
Dalet,505,190,555,240
Mem-medial,479,190,529,240
Lamed,377,190,427,240
Tsadi-final,352,190,402,240
Dalet,230,190,280,240
Bet,191,190,241,240
Nun-medial,923,240,973,290
Tet,822,240,872,290
Taw,793,240,843,290
Mem,768,240,818,290
Mem,745,240,795,290
Shin,719,240,769,290
Mem-medial,696,240,746,290
Gimel,670,240,720,290
Nun-medial,645,240,695,290
Mem-medial,622,240,672,290
Shin,592,240,642,290
Nun-medial,567,240,617,290
Ayin,532,240,582,290
Nun-final,512,240,562,290
Tsadi-medial,489,240,539,290
Samekh,460,240,510,290
Zayin,431,240,481,290
Bet,407,240,457,290
Qof,347,240,397,290
Kaf,318,240,368,290
Zayin,247,240,297,290
Lamed,160,240,210,290
Yod,135,240,185,290
Het,105,240,155,290
Samekh,80,240,130,290
Tet,925,290,975,340
Resh,895,290,945,340
Ayin,800,290,850,340
Tet,778,290,828,340
Ayin,757,290,807,340
Bet,734,290,784,340
Tet,702,290,752,340
Kaf,664,290,714,340
Waw,634,290,684,340
Mem-medial,565,290,615,340
Ayin,485,290,535,340
Zayin,460,290,510,340
Alef,441,290,491,340
Ayin,416,290,466,340
Shin,398,290,448,340
Dalet,383,290,433,340
Tsadi-medial,356,290,406,340
Pe,330,290,380,340
Tsadi-final,312,290,362,340
He,283,290,333,340
Taw,262,290,312,340
Nun-final,241,290,291,340
Mem-medial,182,290,232,340
Resh,155,290,205,340
Bet,133,290,183,340
Waw,922,340,972,390
Gimel,888,340,938,390
Lamed,864,340,914,390
Yod,834,340,884,390
Pe-final,808,340,858,390
Lamed,788,340,838,390
He,770,340,820,390
Tsadi-final,745,340,795,390
Mem,665,340,715,390
Alef,638,340,688,390
Taw,611,340,661,390
Waw,594,340,644,390
Kaf,570,340,620,390
Pe-final,543,340,593,390
Tsadi-final,522,340,572,390
Shin,498,340,548,390
Lamed,478,340,528,390
Tsadi-medial,458,340,508,390
Nun-final,430,340,480,390
Resh,336,340,386,390
Het,308,340,358,390
Mem-medial,277,340,327,390
Kaf,260,340,310,390
Dalet,233,340,283,390
Tet,158,340,208,390
Pe,127,340,177,390
Mem,923,390,973,440
Het,903,390,953,440
Shin,877,390,927,440
Dalet,849,390,899,440
Pe-final,828,390,878,440
Tet,797,390,847,440
Het,781,390,831,440
He,760,390,810,440
Yod,741,390,791,440
Kaf-final,710,390,760,440
Lamed,691,390,741,440
Tsadi-final,664,390,714,440
Lamed,641,390,691,440
Alef,610,390,660,440
Gimel,585,390,635,440
Nun-final,548,390,598,440
Gimel,521,390,571,440
Nun-final,493,390,543,440
Waw,468,390,518,440
Dalet,443,390,493,440
Pe-final,382,390,432,440
Pe-final,351,390,401,440
Zayin,321,390,371,440
Shin,296,390,346,440
Bet,270,390,320,440
Mem,253,390,303,440
Tet,229,390,279,440
He,199,390,249,440
Lamed,176,390,226,440
Qof,148,390,198,440
He,92,390,142,440
Tsadi-medial,929,440,979,490
Taw,903,440,953,490
Tet,877,440,927,490
Lamed,848,440,898,490
Nun-final,830,440,880,490
Qof,701,440,751,490
Pe-final,678,440,728,490
Mem,663,440,713,490
Bet,610,440,660,490
Het,578,440,628,490
Resh,560,440,610,490
He,538,440,588,490
Alef,511,440,561,490
Kaf-final,480,440,530,490
Taw,450,440,500,490
Nun-medial,425,440,475,490
Tet,356,440,406,490
Waw,277,440,327,490
Tsadi-medial,247,440,297,490
Ayin,215,440,265,490
Waw,181,440,231,490
Ayin,162,440,212,490
Ayin,137,440,187,490
Nun-final,931,490,981,540
Zayin,910,490,960,540
Qof,771,490,821,540
Waw,675,490,725,540
Kaf,655,490,705,540
Nun-final,634,490,684,540
Waw,607,490,657,540
Pe-final,583,490,633,540
Pe,503,490,553,540
Alef,478,490,528,540
Waw,447,490,497,540
Alef,420,490,470,540
Ayin,395,490,445,540
Tsadi-final,370,490,420,540
Het,346,490,396,540
Waw,317,490,367,540
Ayin,280,490,330,540
Mem-medial,254,490,304,540
Tsadi-final,223,490,273,540
Dalet,200,490,250,540
Yod,164,490,214,540
Pe-final,142,490,192,540
Nun-medial,121,490,171,540
Zayin,91,490,141,540
