name,xmin,ymin,xmax,ymax
Samekh,933,40,983,90
Qof,900,40,950,90
Dalet,866,40,916,90
Bet,829,40,879,90
Samekh,806,40,856,90
Mem-medial,779,40,829,90
Yod,747,40,797,90
Tsadi-medial,720,40,770,90
Het,690,40,740,90
Mem-medial,663,40,713,90
Tsadi-final,637,40,687,90
Het,613,40,663,90
Pe-final,592,40,642,90
Nun-medial,567,40,617,90
Ayin,532,40,582,90
Resh,511,40,561,90
Zayin,487,40,537,90
Tsadi-medial,459,40,509,90
Bet,437,40,487,90
Dalet,317,40,367,90
Pe-final,229,40,279,90
He,203,40,253,90
Resh,180,40,230,90
Pe,152,40,202,90
Taw,933,90,983,140
Kaf,908,90,958,140
Samekh,880,90,930,140
Tsadi-medial,864,90,914,140
Mem-medial,840,90,890,140
Shin,813,90,863,140
Het,791,90,841,140
Samekh,759,90,809,140
Tet,683,90,733,140
Dalet,651,90,701,140
Nun-final,623,90,673,140
Het,598,90,648,140
Lamed,573,90,623,140
Nun-final,547,90,597,140
Tet,464,90,514,140
Shin,439,90,489,140
Samekh,424,90,474,140
Tsadi-final,403,90,453,140
Dalet,377,90,427,140
Bet,360,90,410,140
Qof,336,90,386,140
Kaf,309,90,359,140
Tsadi-final,280,90,330,140
Qof,255,90,305,140
Pe,231,90,281,140
Lamed,199,90,249,140
Shin,172,90,222,140
Kaf,140,90,190,140
Ayin,115,90,165,140
Dalet,84,90,134,140
Het,871,140,921,190
Pe,840,140,890,190
Bet,808,140,858,190
Lamed,786,140,836,190
Mem,762,140,812,190
He,733,140,783,190
He,714,140,764,190
Ayin,694,140,744,190
Shin,668,140,718,190
Resh,650,140,700,190
Tsadi-final,618,140,668,190
Waw,595,140,645,190
Yod,575,140,625,190
Pe-final,554,140,604,190
He,527,140,577,190
Tet,505,140,555,190
Taw,475,140,525,190
Tet,457,140,507,190
Zayin,437,140,487,190
Tet,404,140,454,190
Tet,384,140,434,190
Shin,365,140,415,190
Waw,334,140,384,190
Lamed,307,140,357,190
Tsadi-final,281,140,331,190
Ayin,205,140,255,190
Samekh,175,140,225,190
Pe,148,140,198,190
Resh,124,140,174,190
Samekh,102,140,152,190
Resh,68,140,118,190
Kaf-final,920,190,970,240
Mem-medial,902,190,952,240
Mem-medial,888,190,938,240
Kaf-final,825,190,875,240
Qof,744,190,794,240
Tsadi-medial,722,190,772,240
Pe-final,655,190,705,240
Tsadi-medial,630,190,680,240
Shin,604,190,654,240
Tsadi-medial,571,190,621,240
Taw,427,190,477,240
Resh,402,190,452,240
Qof,378,190,428,240
Lamed,356,190,406,240
Taw,330,190,380,240
Resh,257,190,307,240
Pe,188,190,238,240
Het,165,190,215,240
Kaf-final,145,190,195,240
Alef,123,190,173,240
Bet,99,190,149,240
Mem,920,240,970,290
Waw,894,240,944,290
Kaf-final,874,240,924,290
Nun-final,813,240,863,290
Alef,752,240,802,290
Dalet,720,240,770,290
Samekh,692,240,742,290
Nun-final,630,240,680,290
Kaf-final,603,240,653,290
Gimel,576,240,626,290
Shin,557,240,607,290
Qof,534,240,584,290
Gimel,462,240,512,290
Ayin,409,240,459,290
Mem-medial,394,240,444,290
Pe,357,240,407,290
Samekh,332,240,382,290
Shin,308,240,358,290
Yod,243,240,293,290
Gimel,206,240,256,290
Lamed,174,240,224,290
Shin,168,240,218,290
Qof,140,240,190,290
Dalet,113,240,163,290
Pe,89,240,139,290
Waw,925,290,975,340
Qof,910,290,960,340
Kaf-final,885,290,935,340
He,859,290,909,340
Mem-medial,831,290,881,340
Mem-medial,767,290,817,340
Pe-final,743,290,793,340
Resh,718,290,768,340
Tsadi-final,691,290,741,340
Ayin,674,290,724,340
Dalet,611,290,661,340
Samekh,582,290,632,340
Qof,554,290,604,340
Lamed,493,290,543,340
Qof,462,290,512,340
Resh,407,290,457,340
Qof,375,290,425,340
Mem-medial,344,290,394,340
Yod,320,290,370,340
Qof,256,290,306,340
Samekh,152,290,202,340
Qof,123,290,173,340
Kaf,920,340,970,390
Nun-medial,894,340,944,390
He,871,340,921,390
Mem,820,340,870,390
Waw,799,340,849,390
Mem-medial,775,340,825,390
Mem,750,340,800,390
Zayin,730,340,780,390
Kaf-final,705,340,755,390
Tet,682,340,732,390
Mem-medial,659,340,709,390
Ayin,637,340,687,390
Tsadi-medial,606,340,656,390
Alef,581,340,631,390
Waw,410,340,460,390
Taw,373,340,423,390
Resh,342,340,392,390
Tsadi-medial,311,340,361,390
Het,298,340,348,390
