name,xmin,ymin,xmax,ymax
Dalet,925,40,975,90
Mem-medial,893,40,943,90
Zayin,782,40,832,90
Dalet,749,40,799,90
Mem-medial,722,40,772,90
Kaf-final,698,40,748,90
Bet,664,40,714,90
Mem-medial,640,40,690,90
Yod,570,40,620,90
Mem-medial,548,40,598,90
Qof,515,40,565,90
Tsadi-medial,498,40,548,90
Zayin,476,40,526,90
Mem-medial,456,40,506,90
Samekh,432,40,482,90
Pe-final,404,40,454,90
Resh,380,40,430,90
Gimel,310,40,360,90
Pe,281,40,331,90
Tsadi-medial,204,40,254,90
Mem-medial,116,40,166,90
He,86,40,136,90
Qof,859,90,909,140
Tsadi-medial,825,90,875,140
Alef,800,90,850,140
Tsadi-medial,779,90,829,140
Pe-final,755,90,805,140
Mem,626,90,676,140
He,597,90,647,140
Mem,575,90,625,140
Samekh,561,90,611,140
Taw,536,90,586,140
Ayin,445,90,495,140
Kaf,421,90,471,140
Het,386,90,436,140
Pe-final,293,90,343,140
Nun-final,226,90,276,140
Nun-medial,131,90,181,140
Kaf-final,107,90,157,140
Kaf-final,85,90,135,140
Pe-final,927,140,977,190
Tet,904,140,954,190
Qof,883,140,933,190
Alef,849,140,899,190
Mem-medial,818,140,868,190
Mem,791,140,841,190
Het,766,140,816,190
Shin,734,140,784,190
Tsadi-medial,701,140,751,190
Lamed,670,140,720,190
Taw,651,140,701,190
Dalet,617,140,667,190
Resh,587,140,637,190
Resh,561,140,611,190
Pe-final,528,140,578,190
Het,507,140,557,190
Kaf,486,140,536,190
Ayin,435,140,485,190
Kaf,409,140,459,190
He,393,140,443,190
Nun-medial,366,140,416,190
Qof,342,140,392,190
Nun-final,328,140,378,190
Waw,301,140,351,190
Mem,275,140,325,190
Taw,246,140,296,190
Nun-medial,147,140,197,190
Mem-medial,122,140,172,190
Zayin,95,140,145,190
Nun-final,917,190,967,240
Samekh,890,190,940,240
Nun-medial,856,190,906,240
Resh,831,190,881,240
Bet,808,190,858,240
Nun-medial,787,190,837,240
Gimel,757,190,807,240
Dalet,653,190,703,240
Kaf,628,190,678,240
Gimel,601,190,651,240
Bet,570,190,620,240
Alef,486,190,536,240
Mem-medial,459,190,509,240
Taw,431,190,481,240
Dalet,406,190,456,240
Zayin,385,190,435,240
Kaf-final,358,190,408,240
Yod,340,190,390,240
Pe,212,190,262,240
Nun-medial,189,190,239,240
Mem,159,190,209,240
Lamed,132,190,182,240
Ayin,112,190,162,240
Taw,85,190,135,240
Dalet,926,240,976,290
Tsadi-medial,892,240,942,290
Taw,834,240,884,290
Pe-final,809,240,859,290
Waw,780,240,830,290
Mem-medial,762,240,812,290
Tsadi-final,737,240,787,290
Tet,708,240,758,290
Nun-final,646,240,696,290
Dalet,614,240,664,290
Gimel,586,240,636,290
Bet,562,240,612,290
Mem,541,240,591,290
Alef,468,240,518,290
Kaf-final,339,240,389,290
Het,291,240,341,290
Gimel,268,240,318,290
Lamed,137,240,187,290
Bet,118,240,168,290
Taw,88,240,138,290
Nun-medial,927,290,977,340
Waw,902,290,952,340
Tsadi-final,873,290,923,340
Waw,851,290,901,340
Alef,827,290,877,340
Tsadi-final,796,290,846,340
Nun-medial,775,290,825,340
Samekh,763,290,813,340
Kaf,738,290,788,340
Lamed,660,290,710,340
Nun-medial,596,290,646,340
Nun-medial,571,290,621,340
Zayin,542,290,592,340
Bet,518,290,568,340
Nun-medial,497,290,547,340
Tet,415,290,465,340
Zayin,381,290,431,340
Samekh,361,290,411,340
Zayin,244,290,294,340
Qof,217,290,267,340
Waw,195,290,245,340
Yod,170,290,220,340
Mem-medial,139,290,189,340
Mem,124,290,174,340
Shin,92,290,142,340
Alef,879,340,929,390
Ayin,848,340,898,390
He,817,340,867,390
Samekh,784,340,834,390
Bet,767,340,817,390
Waw,742,340,792,390
Gimel,679,340,729,390
Ayin,594,340,644,390
Gimel,569,340,619,390
Qof,538,340,588,390
Ayin,514,340,564,390
Bet,490,340,540,390
Pe,417,340,467,390
Tsadi-medial,376,340,426,390
Zayin,280,340,330,390
Gimel,256,340,306,390
Gimel,232,340,282,390
Lamed,206,340,256,390
Mem,176,340,226,390
Waw,151,340,201,390
Dalet,116,340,166,390
Bet,84,340,134,390
Ayin,932,390,982,440
Resh,906,390,956,440
Pe-final,876,390,926,440
Waw,844,390,894,440
Zayin,822,390,872,440
Pe,799,390,849,440
Mem-medial,765,390,815,440
He,735,390,785,440
Tet,714,390,764,440
Mem,685,390,735,440
Waw,657,390,707,440
Waw,626,390,676,440
Shin,598,390,648,440
Pe-final,573,390,623,440
Shin,547,390,597,440
Mem,454,390,504,440
Gimel,428,390,478,440
Dalet,407,390,457,440
He,378,390,428,440
Tsadi-medial,355,390,405,440
Kaf-final,332,390,382,440
He,305,390,355,440
Dalet,283,390,333,440
Samekh,249,390,299,440
Zayin,235,390,285,440
Pe-final,173,390,223,440
Pe-final,154,390,204,440
Yod,70,390,120,440
Waw,918,440,968,490
