name,xmin,ymin,xmax,ymax
Lamed,925,40,975,90
Alef,902,40,952,90
Dalet,875,40,925,90
Waw,850,40,900,90
Dalet,822,40,872,90
Kaf,794,40,844,90
Kaf,771,40,821,90
Het,673,40,723,90
Alef,644,40,694,90
Qof,608,40,658,90
Pe-final,576,40,626,90
Samekh,554,40,604,90
Tsadi-final,530,40,580,90
He,510,40,560,90
Gimel,483,40,533,90
Alef,464,40,514,90
He,436,40,486,90
Nun-final,415,40,465,90
Mem,382,40,432,90
Ayin,355,40,405,90
Qof,329,40,379,90
Ayin,302,40,352,90
Gimel,278,40,328,90
Samekh,256,40,306,90
Ayin,226,40,276,90
Shin,199,40,249,90
Tsadi-final,169,40,219,90
Yod,146,40,196,90
Tsadi-medial,129,40,179,90
Mem-medial,103,40,153,90
Tsadi-medial,67,40,117,90
Lamed,929,90,979,140
Taw,916,90,966,140
Nun-final,894,90,944,140
Kaf,869,90,919,140
Gimel,840,90,890,140
Qof,828,90,878,140
Pe,802,90,852,140
Qof,775,90,825,140
He,748,90,798,140
Waw,728,90,778,140
Gimel,701,90,751,140
Tet,679,90,729,140
Kaf-final,644,90,694,140
Tsadi-medial,625,90,675,140
Alef,600,90,650,140
Alef,568,90,618,140
Taw,553,90,603,140
Alef,529,90,579,140
He,508,90,558,140
Pe-final,484,90,534,140
Zayin,464,90,514,140
Ayin,445,90,495,140
Taw,414,90,464,140
Kaf,386,90,436,140
Shin,361,90,411,140
Zayin,330,90,380,140
Yod,294,90,344,140
Alef,264,90,314,140
Pe-final,237,90,287,140
Tsadi-medial,216,90,266,140
Pe,186,90,236,140
Qof,159,90,209,140
Taw,866,140,916,190
Samekh,839,140,889,190
Samekh,804,140,854,190
Mem,781,140,831,190
Mem-medial,754,140,804,190
Gimel,731,140,781,190
Yod,709,140,759,190
Pe-final,686,140,736,190
Waw,553,140,603,190
Lamed,517,140,567,190
Het,493,140,543,190
Lamed,474,140,524,190
Samekh,458,140,508,190
Tsadi-medial,437,140,487,190
Nun-final,408,140,458,190
Tet,344,140,394,190
Ayin,323,140,373,190
Resh,302,140,352,190
Bet,272,140,322,190
Lamed,240,140,290,190
He,217,140,267,190
Het,116,140,166,190
Samekh,83,140,133,190
Kaf-final,928,190,978,240
Ayin,902,190,952,240
Dalet,871,190,921,240
Tsadi-final,849,190,899,240
Gimel,822,190,872,240
Dalet,800,190,850,240
Tsadi-final,773,190,823,240
Mem,722,190,772,240
He,696,190,746,240
Lamed,674,190,724,240
Waw,644,190,694,240
Resh,611,190,661,240
Ayin,578,190,628,240
Mem-medial,549,190,599,240
Samekh,522,190,572,240
Tsadi-final,505,190,555,240
Nun-medial,476,190,526,240
Tsadi-medial,449,190,499,240
Lamed,423,190,473,240
Ayin,327,190,377,240
Taw,298,190,348,240
Tsadi-final,270,190,320,240
Bet,246,190,296,240
Mem-medial,224,190,274,240
Nun-final,200,190,250,240
Zayin,178,190,228,240
Nun-final,157,190,207,240
Lamed,138,190,188,240
He,110,190,160,240
Pe-final,86,190,136,240
Mem-medial,925,240,975,290
Samekh,895,240,945,290
Tet,870,240,920,290
Shin,838,240,888,290
Pe,816,240,866,290
Tsadi-medial,761,240,811,290
Gimel,741,240,791,290
He,721,240,771,290
Zayin,691,240,741,290
Bet,671,240,721,290
Waw,636,240,686,290
Yod,613,240,663,290
Kaf-final,520,240,570,290
Dalet,495,240,545,290
Kaf-final,473,240,523,290
Qof,447,240,497,290
Shin,414,240,464,290
Mem-medial,389,240,439,290
Resh,362,240,412,290
Alef,338,240,388,290
Tsadi-medial,320,240,370,290
Tet,223,240,273,290
Het,200,240,250,290
Tsadi-final,179,240,229,290
Kaf,163,240,213,290
Het,74,240,124,290
Kaf-final,930,290,980,340
Mem,901,290,951,340
He,876,290,926,340
Alef,823,290,873,340
Qof,804,290,854,340
Mem,787,290,837,340
Resh,765,290,815,340
Dalet,744,290,794,340
Ayin,707,290,757,340
Qof,683,290,733,340
Ayin,661,290,711,340
Nun-final,630,290,680,340
Mem-medial,604,290,654,340
Dalet,574,290,624,340
Gimel,523,290,573,340
Waw,503,290,553,340
Resh,468,290,518,340
Waw,436,290,486,340
Nun-final,409,290,459,340
Tet,379,290,429,340
Tsadi-medial,353,290,403,340
Lamed,336,290,386,340
Resh,313,290,363,340
Dalet,291,290,341,340
Tsadi-medial,267,290,317,340
Dalet,235,290,285,340
Pe-final,206,290,256,340
Pe-final,166,290,216,340
Pe-final,137,290,187,340
Shin,925,340,975,390
Taw,899,340,949,390
Mem,868,340,918,390
Tsadi-final,786,340,836,390
Zayin,762,340,812,390
Pe,735,340,785,390
Mem-medial,711,340,761,390
Shin,680,340,730,390
Resh,661,340,711,390
Kaf-final,633,340,683,390
Het,612,340,662,390
Alef,581,340,631,390
Mem,550,340,600,390
Qof,487,340,537,390
Kaf,451,340,501,390
Pe-final,287,340,337,390
Tet,258,340,308,390
Pe,229,340,279,390
Zayin,209,340,259,390
He,185,340,235,390
Bet,165,340,215,390
Dalet,924,390,974,440
Mem-medial,892,390,942,440
Tet,819,390,869,440
Pe-final,794,390,844,440
Waw,762,390,812,440
Taw,732,390,782,440
Lamed,714,390,764,440
Nun-medial,690,390,740,440
Qof,669,390,719,440
Lamed,573,390,623,440
Tet,539,390,589,440
Mem,514,390,564,440
Resh,495,390,545,440
Kaf,318,390,368,440
Pe,287,390,337,440
Tet,261,390,311,440
Tsadi-final,229,390,279,440
Nun-final,200,390,250,440
Yod,173,390,223,440
Pe-final,146,390,196,440
He,119,390,169,440
He,93,390,143,440
Tet,931,440,981,490
Nun-medial,902,440,952,490
Het,884,440,934,490
Pe-final,791,440,841,490
Tsadi-final,764,440,814,490
Samekh,693,440,743,490
Shin,672,440,722,490
Yod,635,440,685,490
Tsadi-final,610,440,660,490
Ayin,582,440,632,490
Tet,564,440,614,490
Dalet,544,440,594,490
Shin,520,440,570,490
Taw,485,440,535,490
Qof,462,440,512,490
Tsadi-medial,440,440,490,490
Taw,409,440,459,490
Pe,379,440,429,490
Nun-medial,285,440,335,490
Ayin,259,440,309,490
Shin,238,440,288,490
Waw,207,440,257,490
Mem,183,440,233,490
Mem,154,440,204,490
Dalet,74,440,124,490
Waw,926,490,976,540
Mem,906,490,956,540
Dalet,876,490,926,540
Bet,852,490,902,540
Mem-medial,698,490,748,540
Waw,671,490,721,540
Zayin,641,490,691,540
Het,610,490,660,540
Gimel,571,490,621,540
Pe,546,490,596,540
Pe-final,522,490,572,540
He,493,490,543,540
Lamed,414,490,464,540
Samekh,392,490,442,540
Kaf,365,490,415,540
Mem-medial,331,490,381,540
Pe,238,490,288,540
Nun-final,207,490,257,540
Waw,192,490,242,540
Alef,176,490,226,540
Tsadi-final,143,490,193,540
Nun-medial,115,490,165,540
Gimel,88,490,138,540
