name,xmin,ymin,xmax,ymax
Waw,862,40,912,90
Tsadi-medial,837,40,887,90
Qof,809,40,859,90
Alef,783,40,833,90
Tsadi-medial,763,40,813,90
Gimel,734,40,784,90
He,697,40,747,90
Zayin,674,40,724,90
Mem-medial,660,40,710,90
Alef,634,40,684,90
Kaf,615,40,665,90
Shin,594,40,644,90
Tsadi-medial,565,40,615,90
Qof,508,40,558,90
He,489,40,539,90
Tsadi-final,459,40,509,90
Resh,408,40,458,90
Tsadi-medial,382,40,432,90
Tet,359,40,409,90
Zayin,335,40,385,90
Alef,113,40,163,90
Yod,91,40,141,90
He,922,90,972,140
Dalet,893,90,943,140
Pe-final,872,90,922,140
Nun-final,845,90,895,140
Nun-final,820,90,870,140
Waw,799,90,849,140
Yod,773,90,823,140
Yod,742,90,792,140
Bet,716,90,766,140
Dalet,682,90,732,140
Mem,656,90,706,140
Het,631,90,681,140
Waw,598,90,648,140
Yod,575,90,625,140
Lamed,561,90,611,140
Het,535,90,585,140
Bet,515,90,565,140
Shin,492,90,542,140
Shin,461,90,511,140
Shin,411,90,461,140
Alef,314,90,364,140
Taw,283,90,333,140
Nun-final,253,90,303,140
Nun-final,232,90,282,140
He,156,90,206,140
He,130,90,180,140
Tsadi-final,111,90,161,140
Pe,83,90,133,140
Zayin,922,140,972,190
Kaf-final,902,140,952,190
Tet,873,140,923,190
Het,844,140,894,190
Shin,819,140,869,190
Taw,799,140,849,190
Samekh,776,140,826,190
Tsadi-final,757,140,807,190
Gimel,733,140,783,190
Nun-medial,710,140,760,190
Qof,689,140,739,190
Taw,666,140,716,190
Tet,635,140,685,190
Ayin,548,140,598,190
Nun-final,518,140,568,190
Resh,459,140,509,190
Nun-final,369,140,419,190
Kaf-final,351,140,401,190
Waw,319,140,369,190
Taw,293,140,343,190
Bet,265,140,315,190
Pe-final,248,140,298,190
Tet,225,140,275,190
Taw,208,140,258,190
Lamed,179,140,229,190
Bet,155,140,205,190
Samekh,133,140,183,190
Het,110,140,160,190
Pe,82,140,132,190
Waw,851,190,901,240
Yod,814,190,864,240
Mem-medial,790,190,840,240
Pe,762,190,812,240
Tsadi-final,739,190,789,240
Kaf,720,190,770,240
Zayin,693,190,743,240
Taw,637,190,687,240
Kaf,612,190,662,240
Mem-medial,585,190,635,240
Shin,561,190,611,240
Tsadi-final,537,190,587,240
Zayin,513,190,563,240
Mem,486,190,536,240
Alef,470,190,520,240
Nun-medial,442,190,492,240
Waw,417,190,467,240
Lamed,383,190,433,240
He,360,190,410,240
