name,xmin,ymin,xmax,ymax
Pe,917,40,967,90
Ayin,857,40,907,90
Shin,835,40,885,90
Mem,807,40,857,90
Ayin,785,40,835,90
Tet,761,40,811,90
Tsadi-medial,679,40,729,90
Ayin,662,40,712,90
Het,638,40,688,90
Mem,537,40,587,90
Bet,459,40,509,90
Bet,440,40,490,90
Qof,416,40,466,90
Lamed,341,40,391,90
Nun-final,314,40,364,90
Tet,297,40,347,90
Tet,219,40,269,90
Mem,164,40,214,90
Lamed,135,40,185,90
Ayin,117,40,167,90
Waw,88,40,138,90
Kaf-final,924,90,974,140
Gimel,821,90,871,140
Lamed,791,90,841,140
Nun-final,762,90,812,140
He,736,90,786,140
Lamed,715,90,765,140
Alef,682,90,732,140
He,546,90,596,140
Tet,523,90,573,140
Gimel,498,90,548,140
Samekh,474,90,524,140
Samekh,450,90,500,140
He,434,90,484,140
Samekh,406,90,456,140
Resh,342,90,392,140
Samekh,317,90,367,140
Shin,288,90,338,140
Pe,155,90,205,140
Taw,72,90,122,140
Pe,924,140,974,190
Yod,899,140,949,190
Tet,867,140,917,190
Samekh,841,140,891,190
Nun-medial,821,140,871,190
Waw,798,140,848,190
Kaf,733,140,783,190
Kaf-final,670,140,720,190
Mem,601,140,651,190
Gimel,576,140,626,190
Pe-final,550,140,600,190
Nun-medial,531,140,581,190
Nun-medial,513,140,563,190
Yod,485,140,535,190
Resh,456,140,506,190
Tsadi-final,388,140,438,190
Kaf,362,140,412,190
He,337,140,387,190
Bet,310,140,360,190
Qof,285,140,335,190
Resh,265,140,315,190
Bet,240,140,290,190
Mem,210,140,260,190
Waw,179,140,229,190
Nun-final,161,140,211,190
Tsadi-medial,106,140,156,190
Nun-medial,78,140,128,190
Gimel,930,190,980,240
Lamed,902,190,952,240
Yod,869,190,919,240
Waw,845,190,895,240
Tsadi-medial,825,190,875,240
Dalet,801,190,851,240
Yod,776,190,826,240
Mem,757,190,807,240
Nun-medial,724,190,774,240
Taw,695,190,745,240
Nun-final,662,190,712,240
Tsadi-medial,638,190,688,240
Gimel,612,190,662,240
Taw,583,190,633,240
Tsadi-final,566,190,616,240
Tet,545,190,595,240
