name,xmin,ymin,xmax,ymax
Mem,928,40,978,90
Pe-final,914,40,964,90
Zayin,901,40,951,90
Mem-medial,876,40,926,90
Mem-medial,856,40,906,90
He,836,40,886,90
Shin,812,40,862,90
He,781,40,831,90
Alef,759,40,809,90
Samekh,730,40,780,90
Dalet,706,40,756,90
Tsadi-final,671,40,721,90
Yod,638,40,688,90
Yod,604,40,654,90
Tet,583,40,633,90
Pe,512,40,562,90
He,492,40,542,90
Pe,474,40,524,90
Waw,449,40,499,90
Samekh,409,40,459,90
Lamed,390,40,440,90
Tsadi-medial,367,40,417,90
Kaf-final,338,40,388,90
Het,232,40,282,90
Nun-medial,210,40,260,90
Shin,116,40,166,90
Dalet,99,40,149,90
Yod,894,90,944,140
He,837,90,887,140
Zayin,813,90,863,140
Dalet,794,90,844,140
Nun-medial,733,90,783,140
Tsadi-medial,693,90,743,140
Nun-final,673,90,723,140
Zayin,608,90,658,140
Zayin,581,90,631,140
He,561,90,611,140
Tsadi-final,534,90,584,140
Taw,506,90,556,140
Alef,456,90,506,140
Gimel,428,90,478,140
Ayin,405,90,455,140
Bet,384,90,434,140
Waw,362,90,412,140
Shin,338,90,388,140
Bet,322,90,372,140
Alef,299,90,349,140
He,271,90,321,140
He,252,90,302,140
Kaf,225,90,275,140
Taw,165,90,215,140
Mem-medial,142,90,192,140
Resh,114,90,164,140
Kaf,87,90,137,140
Taw,927,140,977,190
Pe,909,140,959,190
Nun-final,880,140,930,190
Yod,856,140,906,190
Kaf-final,834,140,884,190
Zayin,763,140,813,190
Alef,737,140,787,190
Zayin,647,140,697,190
Samekh,622,140,672,190
Pe,592,140,642,190
Kaf-final,533,140,583,190
Alef,445,140,495,190
Nun-final,421,140,471,190
Mem,395,140,445,190
Tsadi-final,377,140,427,190
Het,348,140,398,190
Shin,322,140,372,190
Lamed,295,140,345,190
Bet,228,140,278,190
Bet,205,140,255,190
Tsadi-medial,111,140,161,190
Alef,80,140,130,190
Het,927,190,977,240
Waw,903,190,953,240
Tet,837,190,887,240
Kaf,811,190,861,240
Pe,783,190,833,240
Pe,752,190,802,240
Yod,739,190,789,240
Ayin,709,190,759,240
Zayin,685,190,735,240
Het,654,190,704,240
Het,628,190,678,240
Nun-medial,602,190,652,240
Shin,579,190,629,240
Lamed,559,190,609,240
Het,488,190,538,240
Tsadi-medial,451,190,501,240
Nun-medial,429,190,479,240
Kaf,413,190,463,240
Bet,378,190,428,240
Lamed,349,190,399,240
Lamed,325,190,375,240
Kaf,293,190,343,240
Zayin,267,190,317,240
Dalet,239,190,289,240
Pe,214,190,264,240
Qof,184,190,234,240
Shin,166,190,216,240
