name,xmin,ymin,xmax,ymax
Yod,939,40,989,90
Mem,913,40,963,90
Gimel,891,40,941,90
He,868,40,918,90
Samekh,844,40,894,90
Het,824,40,874,90
Tsadi-final,723,40,773,90
Gimel,701,40,751,90
Pe,680,40,730,90
Pe,656,40,706,90
Samekh,633,40,683,90
Zayin,603,40,653,90
Kaf,579,40,629,90
Mem-medial,555,40,605,90
Zayin,537,40,587,90
Taw,502,40,552,90
Tet,470,40,520,90
Waw,451,40,501,90
Gimel,414,40,464,90
Qof,388,40,438,90
Waw,364,40,414,90
Mem-medial,262,40,312,90
Alef,240,40,290,90
Samekh,215,40,265,90
Waw,123,40,173,90
Waw,98,40,148,90
Gimel,922,90,972,140
Waw,901,90,951,140
Nun-final,872,90,922,140
Zayin,849,90,899,140
Kaf-final,825,90,875,140
Samekh,803,90,853,140
Het,779,90,829,140
Nun-final,749,90,799,140
Gimel,718,90,768,140
Yod,646,90,696,140
Lamed,622,90,672,140
Taw,593,90,643,140
Yod,569,90,619,140
Gimel,551,90,601,140
Qof,532,90,582,140
Tsadi-final,506,90,556,140
Nun-final,479,90,529,140
Taw,455,90,505,140
Nun-medial,417,90,467,140
Tet,348,90,398,140
Bet,329,90,379,140
Shin,303,90,353,140
Bet,277,90,327,140
Nun-final,249,90,299,140
Resh,225,90,275,140
Mem-medial,151,90,201,140
Ayin,923,140,973,190
Taw,900,140,950,190
Yod,833,140,883,190
Waw,808,140,858,190
Resh,780,140,830,190
Yod,744,140,794,190
Taw,727,140,777,190
Kaf,699,140,749,190
Tsadi-medial,673,140,723,190
Shin,652,140,702,190
Resh,626,140,676,190
Kaf,609,140,659,190
Kaf-final,583,140,633,190
Pe,561,140,611,190
Resh,538,140,588,190
Pe-final,507,140,557,190
Zayin,484,140,534,190
Alef,460,140,510,190
Gimel,439,140,489,190
Bet,415,140,465,190
Tet,381,140,431,190
Waw,360,140,410,190
Waw,336,140,386,190
Kaf-final,310,140,360,190
Mem,284,140,334,190
Het,196,140,246,190
Nun-medial,178,140,228,190
Kaf,155,140,205,190
Shin,130,140,180,190
Qof,101,140,151,190
Ayin,78,140,128,190
Bet,920,190,970,240
Tsadi-medial,891,190,941,240
Tsadi-medial,869,190,919,240
Lamed,839,190,889,240
Waw,819,190,869,240
Mem,793,190,843,240
Mem,748,190,798,240
Tet,727,190,777,240
He,701,190,751,240
Het,684,190,734,240
Dalet,664,190,714,240
Gimel,648,190,698,240
Mem,625,190,675,240
Tsadi-medial,605,190,655,240
Nun-final,575,190,625,240
Yod,542,190,592,240
Nun-final,520,190,570,240
Qof,488,190,538,240
Het,424,190,474,240
Tet,393,190,443,240
Tsadi-final,367,190,417,240
Nun-final,341,190,391,240
Bet,314,190,364,240
Het,286,190,336,240
Bet,250,190,300,240
Shin,168,190,218,240
Qof,142,190,192,240
Dalet,113,190,163,240
Gimel,81,190,131,240
Het,913,240,963,290
Samekh,892,240,942,290
Gimel,868,240,918,290
Mem,828,240,878,290
Kaf,725,240,775,290
Nun-final,709,240,759,290
Qof,671,240,721,290
Shin,651,240,701,290
Samekh,631,240,681,290
Resh,611,240,661,290
Alef,583,240,633,290
Zayin,550,240,600,290
Gimel,529,240,579,290
Yod,500,240,550,290
Pe-final,350,240,400,290
Pe-final,333,240,383,290
Resh,306,240,356,290
Lamed,281,240,331,290
Alef,255,240,305,290
Nun-final,237,240,287,290
Bet,155,240,205,290
Mem-medial,132,240,182,290
Mem,99,240,149,290
Ayin,921,290,971,340
Waw,896,290,946,340
Zayin,872,290,922,340
Taw,845,290,895,340
Kaf-final,817,290,867,340
Het,795,290,845,340
Waw,767,290,817,340
Taw,739,290,789,340
Alef,713,290,763,340
Tsadi-medial,639,290,689,340
He,610,290,660,340
Bet,589,290,639,340
Ayin,559,290,609,340
Taw,529,290,579,340
He,499,290,549,340
Taw,472,290,522,340
Taw,439,290,489,340
Kaf,423,290,473,340
He,394,290,444,340
Shin,365,290,415,340
Alef,341,290,391,340
Yod,312,290,362,340
Kaf-final,283,290,333,340
Pe-final,202,290,252,340
Gimel,176,290,226,340
Qof,151,290,201,340
Tsadi-final,128,290,178,340
Resh,97,290,147,340
Pe,920,340,970,390
Kaf-final,892,340,942,390
Kaf-final,801,340,851,390
Tet,776,340,826,390
Taw,755,340,805,390
Mem-medial,727,340,777,390
Alef,695,340,745,390
Shin,670,340,720,390
Tsadi-final,638,340,688,390
Qof,618,340,668,390
Tet,583,340,633,390
Pe-final,557,340,607,390
Tsadi-final,537,340,587,390
Shin,504,340,554,390
Gimel,484,340,534,390
Samekh,466,340,516,390
Qof,412,340,462,390
Tet,388,340,438,390
